focal.species,plot,treatment,subplot,mature,immature,survival.to.reproduction,notes,inflorescences,inviable
Daucus glochidiatus,11,C,3,8,0,yes,NA,NA,NA
Daucus glochidiatus,12,E,1,17,12,yes,NA,NA,NA
Daucus glochidiatus,12,E,2,0,4,yes,NA,NA,NA
Daucus glochidiatus,12,E,3,12,0,yes,NA,NA,NA
Daucus glochidiatus,12,C,1,8,6,yes,NA,NA,NA
Daucus glochidiatus,12,C,2,11,0,yes,NA,NA,NA
Daucus glochidiatus,12,C,3,23,18,yes,NA,NA,NA
Daucus glochidiatus,13,E,1,31,6,yes,NA,NA,NA
Daucus glochidiatus,13,E,2,10,6,yes,NA,NA,NA
Daucus glochidiatus,13,E,3,9,4,yes,NA,NA,NA
Daucus glochidiatus,13,C,1,4,4,yes,NA,NA,NA
Daucus glochidiatus,13,C,2,10,10,yes,NA,NA,NA
Daucus glochidiatus,13,C,3,18,12,yes,NA,NA,NA
Daucus glochidiatus,14,E,1,37,6,yes,NA,NA,NA
Daucus glochidiatus,14,E,2,31,16,yes,NA,NA,NA
Daucus glochidiatus,14,E,3,26,8,yes,NA,NA,NA
Daucus glochidiatus,14,C,1,41,0,yes,NA,NA,NA
Daucus glochidiatus,14,C,2,30,4,yes,NA,NA,NA
Daucus glochidiatus,14,C,3,49,6,yes,NA,NA,NA
Daucus glochidiatus,15,E,1,14,30,yes,NA,NA,NA
Daucus glochidiatus,15,E,2,16,20,yes,NA,NA,NA
Daucus glochidiatus,15,E,3,36,10,yes,NA,NA,NA
Daucus glochidiatus,15,C,1,6,8,yes,NA,NA,NA
Daucus glochidiatus,15,C,2,2,4,yes,NA,NA,NA
Daucus glochidiatus,15,C,3,12,8,yes,NA,NA,NA
Daucus glochidiatus,16,E,1,12,4,yes,NA,NA,NA
Daucus glochidiatus,16,E,2,24,14,yes,NA,NA,NA
Daucus glochidiatus,16,E,3,17,6,yes,NA,NA,NA
Daucus glochidiatus,16,C,1,7,2,yes,NA,NA,NA
Daucus glochidiatus,16,C,2,6,2,yes,NA,NA,NA
Daucus glochidiatus,16,C,3,6,0,yes,NA,NA,NA
Gilberta tenuifolia,1,E,1,134,NA,yes,NA,33,8
Gilberta tenuifolia,1,E,2,232,NA,yes,NA,72,32
Gilberta tenuifolia,1,E,3,154,NA,yes,NA,39,27
Gilberta tenuifolia,1,C,1,31,NA,yes,NA,12,8
Gilberta tenuifolia,1,C,2,37,NA,yes,NA,15,6
Gilberta tenuifolia,1,C,3,65,NA,yes,NA,17,2
Gilberta tenuifolia,2,E,1,103,NA,yes,NA,25,1
Gilberta tenuifolia,2,E,2,333,NA,yes,NA,90,23
Gilberta tenuifolia,2,E,3,121,NA,yes,NA,34,11
Gilberta tenuifolia,2,C,1,152,NA,yes,NA,44,1
Gilberta tenuifolia,2,C,2,66,NA,yes,NA,12,0
Gilberta tenuifolia,2,C,3,48,NA,yes,NA,17,1
Gilberta tenuifolia,3,E,1,121,NA,yes,NA,40,11
Gilberta tenuifolia,3,E,2,58,NA,yes,NA,25,3
Gilberta tenuifolia,3,E,3,26,NA,yes,NA,6,3
Gilberta tenuifolia,3,C,1,30,NA,yes,NA,10,0
Gilberta tenuifolia,3,C,2,24,NA,yes,NA,8,5
Gilberta tenuifolia,3,C,3,102,NA,yes,NA,30,8
Gilberta tenuifolia,4,E,1,94,NA,yes,NA,28,1
Gilberta tenuifolia,4,E,2,37,NA,yes,NA,9,1
Gilberta tenuifolia,4,E,3,128,NA,yes,NA,35,1
Gilberta tenuifolia,4,C,1,52,NA,yes,NA,10,0
Gilberta tenuifolia,4,C,2,12,NA,yes,NA,4,0
Gilberta tenuifolia,4,C,3,9,NA,yes,NA,5,0
Gilberta tenuifolia,5,E,1,60,NA,yes,NA,13,10
Gilberta tenuifolia,5,E,2,51,NA,yes,NA,19,13
Gilberta tenuifolia,5,E,3,22,NA,yes,NA,24,20
Gilberta tenuifolia,5,C,1,65,NA,yes,NA,10,4
Gilberta tenuifolia,5,C,2,36,NA,yes,NA,19,7
Gilberta tenuifolia,5,C,3,67,NA,yes,NA,21,5
Gilberta tenuifolia,6,E,1,69,NA,yes,NA,22,2
Gilberta tenuifolia,6,E,2,95,NA,yes,NA,29,9
Gilberta tenuifolia,6,E,3,32,NA,yes,NA,11,2
Gilberta tenuifolia,6,C,1,61,NA,yes,NA,15,3
Gilberta tenuifolia,6,C,2,7,NA,yes,NA,8,0
Gilberta tenuifolia,6,C,3,11,NA,yes,NA,9,0
Gilberta tenuifolia,7,E,1,41,NA,yes,NA,31,6
Gilberta tenuifolia,7,E,2,3,NA,yes,NA,2,0
Gilberta tenuifolia,7,E,3,36,NA,yes,NA,19,8
Gilberta tenuifolia,7,C,1,32,NA,yes,NA,12,1
Gilberta tenuifolia,7,C,2,11,NA,yes,NA,10,3
